id,artist,title,album,year,duration_s,format,path
dqJ6z8HuW80oq54C2SbAJl,LXST CXNTURY,Violence,LXST CXNTURY,,182,mp3,LXST CXNTURY/LXST CXNTURY/Violence.mp3
zDvHtsZOuKclvtLJwcRMuQ,LXST GARDEN feat. LXNTE,Black Priest,LXST GARDEN feat. LXNTE,,130,mp3,LXST GARDEN/LXST GARDEN feat. LXNTE/Black Priest.mp3
ZQt1wqY8BeBmv2n7trFaAf,"M. Freni, C. Ludwig, C. Cossutta , N. Ghiaurov",Verdi - Requiem 02 Dies irae,"M. Freni, C. Ludwig, C. Cossutta , N. Ghiaurov",,144,mp3,"M. Freni, C. Ludwig, C. Cossutta , N. Ghiaurov/M. Freni, C. Ludwig, C. Cossutta , N. Ghiaurov/Verdi - Requiem 02 Dies irae.mp3"
kCNNj4ZYddFvDftBTGY3Hw,M.C. Hammer,U Can't Touch This,M.C. Hammer,,254,mp3,M.C. Hammer/M.C. Hammer/U Can't Touch This.mp3
FBpkWSKnP42JQKXOPXFzCO,M83,Midhight city,M83,,150,mp3,M83/M83/Midhight city.mp3
uClauNrkNMK0RmIAF7jhZT,MACINTOSH PLUS,リサフランク420,MACINTOSH PLUS,,319,mp3,MACINTOSH PLUS/MACINTOSH PLUS/リサフランク420.mp3
jTnIC6ZbbUXqkKp4e4ZnMY,"Mad Dog, AniMe",Ama Shishi,"Mad Dog, AniMe",,181,mp3,"Mad Dog, AniMe/Mad Dog, AniMe/Ama Shishi.mp3"
GcNXfexiD1xymSCVCRNgnR,Mambo king,Mambo N. 5,Mambo king,,217,mp3,Mambo king/Mambo king/Mambo N. 5.mp3
HzhIaPc3uyPyY1Q8bwhPVt,Maniac Lover,Blade on a Vein,Maniac Lover,,223,mp3,Maniac Lover/Maniac Lover/Blade on a Vein.mp3
zpdMkX9EzWsoFw0OSgSt31,Maniac Lover,Sands of War,Maniac Lover,,320,mp3,Maniac Lover/Maniac Lover/Sands of War.mp3
Groaa0vKh5DPyJ9RhgTtdh,Maniac Lover,The Blue Pill Mantra,The Blue Pill Mantra,2024,256,mp3,Maniac Lover/The Blue Pill Mantra/The Blue Pill Mantra.mp3
t0IUBpr7DZ7yzxQjaiU8KY,"Mannequin, Ghostshell",Bad Love,"Mannequin, Ghostshell",,122,mp3,"Mannequin, Ghostshell/Mannequin, Ghostshell/Bad Love.mp3"
xaUIaH3Aa009s37cdWirt5,Manowar,Die For Metal,Manowar,,317,mp3,Manowar/Manowar/Die For Metal.mp3
xy4blhwL8PS8jKdRDKx273,MANT & Biscits,Get Busy (Original Mix),MANT & Biscits,,211,mp3,MANT & Biscits/MANT & Biscits/Get Busy (Original Mix).mp3
GK31u9xwBVIOCK2KwfnfZ0,Marcel Hope,Gang Durch Die Neun Paläste,Marcel Hope,,719,mp3,Marcel Hope/Marcel Hope/49 - Gang Durch Die Neun Paläste.mp3
JMgCy2h4O6EMxWxO6wS8zu,Marcos Salas,Obreros,Obreros,2019,443,mp3,Marcos Salas/Obreros/01-01 - Obreros.mp3
3qmtpw8jAwVcfyCPGg0L9z,Mariel Ito,Lovely,2000-2005,2018,566,mp3,Mariel Ito/2000-2005/01-04 - Lovely.mp3
xPQAvT8aw5wCULZAoSjoE8,Mark Reeve,Distance,Mark Reeve,,432,mp3,Mark Reeve/Mark Reeve/Distance.mp3
WiiNUyE61I2RTQw3Mewy6R,Mark Ronson feat. Bruno Mars,Uptown Funk,Mark Ronson feat. Bruno Mars,,270,mp3,Mark Ronson/Mark Ronson feat. Bruno Mars/Uptown Funk.mp3
DBnk9RNlG2NZaIj3ougPFe,Marko Dragan,I Should Tell,Marko Dragan,,135,mp3,Marko Dragan/Marko Dragan/I Should Tell.mp3
d3VycZ25xeMN9HaJKl7X9F,Markul,Больше бед,Markul,,164,mp3,Markul/Markul/Больше бед.mp3
Qf9sT4uGJs95vX1WKs98Qu,Martin Neder,Vibranio (TAITO Remix),Martin Neder,2023,541,mp3,Martin Neder/Martin Neder/01-04 - Vibranio (TAITO Remix).mp3
ir0wqfdWKpxSjbCfHKZMCm,Marvel83',In a Different Time,In a Different Time,2021,355,mp3,Marvel83'/In a Different Time/01-03 - In a Different Time.mp3
2ZSOOB8t7vGsGjQkogDeEE,Marvin Gaye,Let's Get It On,Marvin Gaye,,292,mp3,Marvin Gaye/Marvin Gaye/Let's Get It On.mp3
X2EwOXgmiWXTY1KDnJCgRM,MASTER BOOT RECORD,HTTP,MASTER BOOT RECORD,,268,mp3,MASTER BOOT RECORD/MASTER BOOT RECORD/HTTP.mp3
SrNC4lPgxzWGLb0Ta33ITs,Masterboy,Generation Of Love (Ipanema Maxi Version),Masterboy,,219,mp3,Masterboy/Masterboy/Generation Of Love (Ipanema Maxi Version).mp3
wBWMCopfbtoHqhau9pQnHy,Mattafix,Big City Life,Mattafix,,240,mp3,Mattafix/Mattafix/Big City Life.mp3
qCYLkSEltNSm2JOxPd6WQd,Mauro,Buona Sera Ciao Ciao (1987),Mauro,,444,mp3,Mauro/Mauro/57 - Buona Sera Ciao Ciao (1987).mp3
FagtsAVdrnRdF5K6qKhSxn,Max Brhon,Cyberpunk,Max Brhon,,215,mp3,Max Brhon/Max Brhon/Cyberpunk.mp3
EvDwmupn0Ipqyu44c6PYkj,Maxx,Get a Way,Maxx,,226,mp3,Maxx/Maxx/Get a Way.mp3
2zmxGaiLZZgEzL0FE00HHy,Maxx,Get Away (Airplay Mix),Maxx,,228,mp3,Maxx/Maxx/Get Away (Airplay Mix).mp3
4iEotAOcJ8zhBsi6kChIHD,Maxx,No More (I Can't Stand It),Maxx,,282,mp3,Maxx/Maxx/No More (I Can't Stand It).mp3
U182KQYSVHFbn9k9yx2H5t,MC Hammer,Polkovnik (Полная версия),MC Hammer,,75,mp3,MC Hammer/MC Hammer/Polkovnik (Полная версия).mp3
